Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
3335925,BOSTON,04-Jan-2013,2:38 PM,Non-fatal injury,2,1,0,Angle,V1: Turning right / V2:Turning left,V1:Westbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Not Reported,,CENTRE STREET / WALTER STREET,,,,,230504.5157,894255.4377
3716052,BOSTON,04-Jan-2013,3:00 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Not reported ,V1: Not reported ,V1: Passenger car,Dry,Daylight,Clear,ALLSTON STREET / COMMONWEALTH AVENUE,,,,,"P2:Pedalcyclist (bicycle, tricycle, unicycle, pedal car)",229853.5679,899842.3698
3343266,BOSTON,04-Jan-2013,3:05 PM,Property damage only (none injured),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car / V3:Passenger car,Dry,Daylight,Clear,,Rte 93 S,,Exit 23 on Rte 93 S,,,236856.2793,901152.8251
3340567,BOSTON,04-Jan-2013,3:15 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,Rte 93 S,,Exit 18 on Rte 93 S,,,236013.2783,899092.9981
3384515,BOSTON,04-Jan-2013,3:37 PM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Cloudy,,LEVERETT CONNECTOR NORTH / RAMP - STORROW DRIVE TO LEVERETT CONNECT,,,LEVERETT CONNECTOR,,236003.3829,901977.5138
3332223,BOSTON,04-Jan-2013,9:54 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Not reported,V1:Northbound / V2:Not reported ,V1: Collision with parked motor vehicle / V2: Not reported ,V1: Passenger car / V2:Not reported,Dry,Dark - lighted roadway,Clear,,2032 DORCHESTER AVENUE,,,,,235834.7117,892404.019
3376539,BOSTON (WEST ROXBURY),04-Jan-2013,11:00 PM,Unknown,2,0,0,Not reported,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Not reported",Not reported,Not reported,Not Reported,,LA GRANGE STREET / CENTRE STREET,,,,,228196.375,892302.3127
3336858,BOSTON,05-Jan-2013,00:00 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with curb ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,STORROW DRIVE Rte 28 N / RAMP TO CHARLES CIRCLE,,,CHARLES CIRCLE,,235252.0283,901167.8312
3327786,BOSTON,05-Jan-2013,1:09 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with tree ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,AIRPORT ROAD UTURN TO ARRIVAL LEVEL / AIRPORT ROAD - ARRIVAL LEVEL / RAMP - RT 90 EB TO AIRPORT ARRIVAL LEVEL,,,,AIRPORT WAY,,238946.2138,902009.9428
3343267,BOSTON,05-Jan-2013,1:45 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 18 on Rte 93 S,,,236013.2783,899092.9981
3369633,BOSTON,05-Jan-2013,3:15 AM,Non-fatal injury,1,2,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with light pole or other post/support ,V1: Passenger car,Not reported,Dark - lighted roadway,Clear/Clear,ESSEX STREET / KINGSTON STREET,,,,,,236300.8174,900317.6609
3332221,BOSTON,05-Jan-2013,11:10 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Changing lanes,V1:Eastbound / V2:Eastbound ,V1: Collision with moped / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Cloudy,,RAMP - STORROW DRIVE TO LEVERETT CONNECT / STORROW DRIVE Rte 28 N,,,PRIOR TO RT 93,,235615.6851,901863.7875
3340568,BOSTON,05-Jan-2013,1:10 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Other ,V1: Passenger car,Dry,Daylight,Clear,,LEVERETT CONNECTOR NORTH / RAMP - LEVERETT CONNECTOR TO RT 1 NB,,,SN RAMP,,235771.8069,902427.9464
3340466,BOSTON,05-Jan-2013,6:38 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,0 feet S from Intersection TEMPORARY RAMP Rte 1 N / MAURICE TOBIN BRIDGE,,,,,235848.1406,902282.2336
3346901,BOSTON,05-Jan-2013,6:57 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - roadway not lighted,Clear,,Rte 93 S,,Exit 18 on Rte 93 S,,,236013.2783,899092.9981
3376541,BOSTON (ROSLINDALE),06-Jan-2013,00:00 AM,Not Reported,2,0,0,Not reported,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Not reported,Not reported,Not reported,Not Reported,,186 WALWORTH STREET / DURNELL AVENUE,,,,,229888.0312,892882.4998
3411743,BOSTON,06-Jan-2013,1:30 AM,Not Reported,2,0,0,Rear-end,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,CHELSEA STREET / NORTH WASHINGTON STREET,,,,,,236085.5715,902381.8954
3375790,BOSTON (ROSLINDALE),06-Jan-2013,2:30 AM,Non-fatal injury,3,1,0,Rear-end,V1: Travelling straight ahead / V2:Parked / V3:Parked,V1:Not reported / V2:Not reported / V3:Not reported ,V1: Collision with parked motor vehicle / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Dark - lighted roadway,Clear/Other,,35 GLENDOWER ROAD,,,,,230546.4457,891629.1667
3367575,BOSTON,06-Jan-2013,2:33 AM,Non-fatal injury,3,2,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Westbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car / V3:Unknown vehicle configuration,Wet,Dark - lighted roadway,Clear/Rain,ALBANY STREET / MASSACHUSETTS AVENUE,,,,,,235158.7194,898212.7833
3340569,BOSTON,06-Jan-2013,3:30 AM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Changing lanes,V1:Westbound ,V1: Other ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 90 W,,Exit 24 on Rte 90 W,,,238090.4393,899691.5691
3384611,BOSTON,06-Jan-2013,7:53 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with guardrail ,V1: Passenger car,Ice,Daylight,Cloudy/Snow,,RAMP - RT 1 NB TO TOBIN BRIDGE Rte 1 N,,,RAMP TO TOBIN BRIDGE,,235519.1116,902522.4271
3384656,BOSTON,06-Jan-2013,2:07 PM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Turning left,V1:Eastbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,Rte UNKNOW,,,NEPONSET CIRCLE,,237666.7677,893003.4688
3330262,BOSTON,06-Jan-2013,5:33 PM,Non-fatal injury,1,1,0,Angle,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with pedestrian ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Dark - lighted roadway,Clear,JAMAICAWAY / PERKINS STREET,,,,,,231606.1562,896796.9999
3490132,BOSTON (DORCHESTER),07-Jan-2013,00:00 AM,Property damage only (none injured),2,0,0,Unknown,V1: Parked / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Collision with parked motor vehicle / V2: Not reported ,V1: Passenger car / V2:Not reported,Dry,Dark - lighted roadway,Clear/Clear,,79 CHURCH STREET,,,,,235541.4371,900069.2012
3342204,BOSTON,07-Jan-2013,5:32 AM,Property damage only (none injured),4,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead / V4:Slowing or stopped in traffic,V1:Northbound / V2:Northbound / V3:Northbound / V4:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car / V4:Passenger car",Dry,Dawn,Cloudy,,Rte 93 N / NEPONSET AVENUE,,Exit 11 on Rte 93,NEPONSET,,237707.8432,892917.7308
3340570,BOSTON,07-Jan-2013,8:13 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,LEVERETT CONNECTOR NORTH / RAMP - LEVERETT CONNECTOR TO RT 1 NB,,,LEVERETT CONNECTOR N/B,,235098.0199,902899.2047
3490232,BOSTON (DORCHESTER),07-Jan-2013,8:15 AM,Non-fatal injury,2,2,0,Angle,V1: Travelling straight ahead / V2:Turning left,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Snow,,10 GRANITE AVENUE,,,,,236654.3789,892526.2027
3390690,BOSTON,07-Jan-2013,12:13 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Single-unit truck (3-or-more axles),Dry,Daylight,Clear,,MASSACHUSETTS TURNPIKE Rte 90 W / RAMP - DARTMOUTH STREET TO RT 90 WB,,,PRUDENTIAL TUNNEL,,234644.4972,899787.4901
3390691,BOSTON,07-Jan-2013,12:23 PM,Property damage only (none injured),2,0,0,Angle,V1: Turning right / V2:Turning right,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Tractor/semi-trailer / V2:Passenger car,Dry,Daylight,Clear,RAMP - SEAPORT BOULEVARD TO RT 93 NB / ATLANTIC AVENUE / SEAPORT BOULEVARD,,,,RAMP AC-N,,236957.6765,900570.2341
3413200,BOSTON,07-Jan-2013,2:37 PM,Not Reported,2,0,0,Not reported,V1: Not reported / V2:Not reported,V1:Not reported / V2:Not reported ,V1: Not reported / V2: Not reported ,V1: Passenger car / V2:Passenger car,Not reported,Not reported,Not Reported,RIVER STREET / WEST STREET,,,,,,231519.1562,889877.1873
3346304,BOSTON,07-Jan-2013,3:01 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,Rte 93 N,,Exit 13 on Rte 93 N,,,237420.1414,894076.5227
3346355,BOSTON,07-Jan-2013,5:52 PM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic,V1:Southbound / V2:Not reported / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 15 on Rte 93 S,COLUMBIA ROAD ON RAMP,,236629.6253,897168.5001
3340135,BOSTON,07-Jan-2013,7:30 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Bus (seats for more than 15 people, including driver) / V2:Passenger car",Dry,Dark - lighted roadway,Clear,,WASHINGTON STREET / EAST BERKELEY STREET,,,,,235764.3827,899364.1321
3336961,BOSTON,08-Jan-2013,2:47 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Turning left,V1:Westbound ,V1: Collision with tree ,V1: Passenger car,Ice,Dark - lighted roadway,Clear,,WEST STREET / 219,,,,,230876.2102,890387.7753
